code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
08121,8121.HK,國恩控股,0.37,-11.9,1149450,55514800,55514800,16112,71.34,2.07,10,0,0,2026-09-08 12:50:33
00736,736.HK,中國置業投資,0.23,15.0,1132741,73737909,73737909,19163,59.11,1.54,10,0,0,2026-09-08 12:50:32
03444,3444.HK,恆生香港股票,7.59,0.93,940478,95634000,,57592,16.33,0.98,10,0,0,2026-09-08 12:50:33
00254,254.HK,國家聯合資源,0.192,-4.0,6272722,129746465,129746465,479155,13.09,4.83,10,0,0,2026-09-08 12:50:32
00660,660.HK,瑋俊生物科技,0.48,11.63,1453990,184468697,184468697,17434,83.4,0.79,10,0,0,2026-09-08 12:50:32
01962,1962.HK,訓修實業,0.495,2.06,3713400,304987320,304987320,54522,68.11,1.22,10,0,0,2026-09-08 12:50:32
01087,1087.HK,威訊控股,1.33,2.31,1887240,319021248,319021248,90344,20.89,0.59,10,0,0,2026-09-08 12:50:32
03860,3860.HK,EPS創健科技,0.55,-1.79,1680225,320336411,320336411,19458,86.35,0.52,10,0,0,2026-09-08 12:50:33
06038,6038.HK,信越控股,0.425,21.43,4555850,426275000,426275000,48235,94.45,1.07,10,0,0,2026-09-08 12:50:33
06829,6829.HK,龍升集團控股,1.62,0.62,1005040,466560000,466560000,45188,22.24,0.22,10,0,0,2026-09-08 12:50:33
00160,160.HK,漢國置業,0.69,-2.82,1231040,497096218,497096218,16404,75.04,0.25,10,0,0,2026-09-08 12:50:32
01282,1282.HK,中澤豐,0.103,25.61,1111892,515000000,515000000,45492,24.44,0.22,10,0,0,2026-09-08 12:50:32
01285,1285.HK,嘉士利集團,1.57,25.6,3840880,651550000,651550000,137626,27.91,0.59,10,0,0,2026-09-08 12:50:32
00239,239.HK,白花油,2.6,1.56,805138,810264000,810264000,50655,15.89,0.1,10,0,0,2026-09-08 12:50:32
01985,1985.HK,美高域,2.805,6.65,3808060,859379070,859379070,303858,12.53,0.44,10,0,0,2026-09-08 12:50:32
02098,2098.HK,卓爾智聯,0.07,7.69,777812,867965406,867965406,57856,13.44,0.09,10,0,0,2026-09-08 12:50:32
01483,1483.HK,網譽科技,1.16,5.94,8993290,950562000,950562000,29981,299.97,0.95,10,0,0,2026-09-08 12:50:32
